area,bathrooms,bedrooms,condo,parking_spots,price,suites,type,lat,lon
295.0,6.0,4.0,2200.0,4.0,1000000.0,4.0,apartment,-5.831613,-35.2197975
38.0,1.0,1.0,120.0,1.0,140000.0,1.0,apartment,-5.8689192,-35.1868028
115.0,0.0,2.0,1590.0,0.0,295000.0,0.0,apartment,0.0,0.0
245.0,4.0,4.0,1500.0,3.0,894000.0,4.0,apartment,0.0,0.0
153.0,4.0,4.0,0.0,2.0,646000.0,2.0,apartment,-5.8600136,-35.1998189
34.0,1.0,0.0,0.0,1.0,164900.0,0.0,other,-5.8032096,-35.2002054
162.0,4.0,3.0,0.0,2.0,390000.0,3.0,apartment,0.0,0.0
74.0,3.0,3.0,280.0,1.0,250000.0,1.0,apartment,-5.8669345,-35.191136
56.0,1.0,2.0,340.0,1.0,185000.0,0.0,apartment,-5.8187773,-35.2166551
280.0,1.0,4.0,0.0,4.0,1730250.0,4.0,apartment,-5.7869014,-35.1902633
43.0,1.0,1.0,450.0,1.0,165000.0,1.0,apartment,0.0,0.0
130.0,2.0,4.0,750.0,2.0,780000.0,2.0,apartment,-5.790886,-35.2023866
154.0,4.0,4.0,1.0,3.0,715000.0,3.0,apartment,-5.8209603,-35.2182387
140.0,2.0,3.0,0.0,1.0,380000.0,0.0,house,-5.8226937,-35.2126403
163.0,0.0,4.0,0.0,3.0,1160000.0,3.0,apartment,0.0,0.0
36.0,0.0,0.0,0.0,1.0,180000.0,0.0,other,-5.8347074,-35.2243579
59.0,0.0,2.0,190.0,1.0,130000.0,0.0,apartment,-5.8475525,-35.2488687
226.0,4.0,3.0,0.0,4.0,800000.0,2.0,house,-5.8143778,-35.2089333
67.0,1.0,2.0,298.0,1.0,260000.0,1.0,apartment,-5.8633093,-35.2324324
10.0,0.0,0.0,0.0,0.0,2000000.0,0.0,other,-5.8437235,-35.2214483
56.0,1.0,2.0,374.0,1.0,330000.0,1.0,apartment,0.0,0.0
240.0,1.0,5.0,0.0,2.0,280000.0,3.0,house,-5.8332392,-35.2305833
210.0,0.0,3.0,0.0,3.0,1200000.0,3.0,apartment,-5.7845495,-35.1984438
218.0,1.0,5.0,0.0,3.0,410000.0,3.0,house,-5.8134729,-35.2151985
96.0,1.0,3.0,930.0,2.0,438000.0,1.0,apartment,-5.8627911,-35.1994162
142.0,0.0,3.0,0.0,0.0,299900.0,1.0,house,-5.8186245,-35.2275296
98.0,1.0,3.0,934.0,4.0,300000.0,1.0,apartment,-5.808338,-35.2051046
215.0,4.0,3.0,0.0,3.0,1336000.0,3.0,apartment,-5.8128407,-35.2050094
87.0,1.0,2.0,350.0,2.0,180000.0,1.0,apartment,-5.8226937,-35.2126403
98.0,1.0,2.0,750.0,2.0,480000.0,1.0,apartment,-5.8226937,-35.2126403
67.0,1.0,2.0,320.0,1.0,145000.0,0.0,apartment,-5.824069,-35.1996847
95.0,2.0,2.0,648.0,1.0,300000.0,1.0,apartment,-5.8821365,-35.1722172
165.0,1.0,2.0,0.0,2.0,200000.0,1.0,house,-5.8633093,-35.2324324
70.0,2.0,2.0,430.0,2.0,180000.0,1.0,apartment,-5.824868,-35.2058664
109.0,3.0,3.0,0.0,2.0,481500.0,2.0,apartment,0.0,0.0
