area,bathrooms,bedrooms,condo,parking_spots,price,suites,type,lat,lon
112.0,3.0,3.0,600.0,2.0,750000.0,1.0,apartment,-5.7997946,-35.1979747
103.0,1.0,3.0,520.0,2.0,465000.0,1.0,apartment,-5.7870581,-35.1983806
57.0,2.0,2.0,268.0,1.0,170000.0,1.0,apartment,-5.8796695,-35.1973555
161.0,2.0,3.0,390.0,3.0,399000.0,1.0,apartment,-5.8274696,-35.2168565
236.0,5.0,4.0,795.0,3.0,1100000.0,3.0,other,-5.8253734,-35.2113637
60.0,2.0,2.0,362.0,1.0,319900.0,1.0,apartment,-5.8999907,-35.1759866
142.0,4.0,4.0,1150.0,3.0,630000.0,2.0,apartment,-5.8286255,-35.2226081
54.0,2.0,2.0,350.0,1.0,240000.0,1.0,apartment,0.0,0.0
59.0,2.0,2.0,330.0,1.0,280000.0,1.0,apartment,0.0,0.0
100.0,2.0,3.0,600.0,1.0,280000.0,1.0,apartment,0.0,0.0
86.0,2.0,3.0,420.0,2.0,360000.0,1.0,apartment,-5.8796695,-35.1973555
90.0,2.0,3.0,530.0,2.0,440000.0,1.0,apartment,0.0,0.0
75.0,1.0,3.0,0.0,2.0,270000.0,1.0,apartment,-5.7775126,-35.2013557
98.0,3.0,3.0,0.0,2.0,550000.0,1.0,apartment,-5.7871981,-35.2012834
48.0,1.0,2.0,130.0,1.0,126500.0,0.0,apartment,-5.7487019,-35.2361536
122.0,5.0,4.0,500.0,2.0,260000.0,3.0,apartment,-5.820507,-35.2164801
60.0,1.0,2.0,0.0,1.0,110000.0,0.0,house,-5.8225961,-35.2413934
124.0,5.0,3.0,600.0,2.0,499999.0,3.0,apartment,-5.8203803,-35.2256399
200.0,6.0,5.0,0.0,0.0,635000.0,4.0,apartment,-5.8005515,-35.1986193
58.0,2.0,2.0,0.0,1.0,290000.0,1.0,apartment,-5.8999907,-35.1759866
98.0,3.0,3.0,600.0,3.0,449000.0,1.0,apartment,-5.7844356,-35.2018859
54.0,2.0,2.0,320.0,1.0,220000.0,1.0,apartment,-5.8069157,-35.216795
65.0,2.0,2.0,300.0,1.0,200000.0,1.0,apartment,0.0,0.0
200.0,2.0,3.0,0.0,2.0,440000.0,1.0,house,-5.8459021,-35.2016527
57.0,2.0,2.0,0.0,2.0,240000.0,1.0,apartment,-5.8163039,-35.2204887
105.0,4.0,3.0,507.0,2.0,560000.0,2.0,apartment,-5.8580854,-35.2023029
76.0,2.0,3.0,550.0,1.0,210000.0,1.0,apartment,-5.799826,-35.207247
58.0,2.0,2.0,240.0,1.0,170000.0,1.0,apartment,-5.8686163,-35.2305498
180.0,4.0,4.0,0.0,4.0,315000.0,2.0,house,-5.8740383,-35.2066593
162.0,4.0,3.0,950.0,2.0,450000.0,3.0,apartment,0.0,0.0
56.0,1.0,2.0,570.0,1.0,480000.0,1.0,apartment,-5.8781084,-35.1763299
