address,area,bathrooms,bedrooms,condo,parking_spots,price,suites,type
"Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",58.0,2.0,2.0,,1.0,250000.0,1.0,apartment
"Rua Princesa Isabel, 180 - Cidade Alta, Natal - RN",,3.0,3.0,,2.0,,,other
"Rua Desembargador Hemetério Fernandes, 1162 - Tirol, Natal - RN",112.0,3.0,3.0,600.0,2.0,750000.0,1.0,apartment
"Avenida Amintas Barros, 1712 - Lagoa Nova, Natal - RN",141.0,3.0,3.0,580.0,2.0,370000.0,1.0,apartment
"Rua Mipibu, 741 - Petrópolis, Natal - RN",103.0,1.0,3.0,520.0,2.0,465000.0,1.0,apartment
"Rua Joaquim Eduardo de Farias, 105 - Ponta Negra, Natal - RN",56.0,2.0,2.0,250.0,1.0,160000.0,1.0,apartment
"Avenida Almirante Alexandrino de Alencar, 1384 - Tirol, Natal - RN",225.0,4.0,3.0,1493.0,2.0,670000.0,3.0,apartment
"Rua Paracati, 545 - Planalto, Natal - RN",65.0,2.0,2.0,,1.0,115000.0,1.0,apartment
"Rua Açu, 535 - Tirol, Natal - RN",222.0,,4.0,,4.0,,,other
"Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",58.0,2.0,2.0,,1.0,290000.0,1.0,apartment
"Avenida Governador Sílvio Pedroza, 200 - Areia Preta, Natal - RN",89.0,3.0,2.0,820.0,1.0,304990.0,1.0,apartment
"Rua Santa Inês, 255 - Pajuçara, Natal - RN",48.0,1.0,2.0,130.0,1.0,126500.0,,apartment
"Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",60.0,2.0,2.0,362.0,1.0,319900.0,1.0,apartment
"Rua Beatriz Pinheiro, 1319 - Barro Vermelho, Natal - RN",98.0,3.0,3.0,700.0,2.0,370000.0,2.0,apartment
"Rua Anísio de Souza - Lagoa Nova, Natal - RN",87.0,3.0,3.0,481.0,2.0,490000.0,1.0,apartment
"Avenida Campos Sáles, 901 - Tirol, Natal - RN",,,,,,,,other
"Rua da Lagosta, 466 - Ponta Negra, Natal - RN",93.0,3.0,3.0,688.0,2.0,330000.0,1.0,apartment
"Rua Francisco Borges de Oliveira, 1577 - Lagoa Nova, Natal - RN",110.0,4.0,4.0,900.0,2.0,430000.0,3.0,apartment
