area,bathrooms,bedrooms,condo,parking_spots,price,suites,type,lat,lon
58.0,2.0,2.0,0.0,1.0,250000.0,1.0,apartment,-5.8999907,-35.1759866
112.0,3.0,3.0,600.0,2.0,750000.0,1.0,apartment,-5.7997946,-35.1979747
141.0,3.0,3.0,580.0,2.0,370000.0,1.0,apartment,-5.8198444,-35.2109804
103.0,1.0,3.0,520.0,2.0,465000.0,1.0,apartment,-5.7870581,-35.1983806
56.0,2.0,2.0,250.0,1.0,160000.0,1.0,apartment,-5.8796695,-35.1973555
225.0,4.0,3.0,1493.0,2.0,670000.0,3.0,apartment,-5.8088697,-35.199618
65.0,2.0,2.0,0.0,1.0,115000.0,1.0,apartment,-5.8475525,-35.2488687
58.0,2.0,2.0,0.0,1.0,290000.0,1.0,apartment,-5.8999907,-35.1759866
89.0,3.0,2.0,820.0,1.0,304990.0,1.0,apartment,-5.783788,-35.1913745
48.0,1.0,2.0,130.0,1.0,126500.0,0.0,apartment,-5.7487019,-35.2361536
60.0,2.0,2.0,362.0,1.0,319900.0,1.0,apartment,-5.8999907,-35.1759866
98.0,3.0,3.0,700.0,2.0,370000.0,2.0,apartment,0.0,0.0
87.0,3.0,3.0,481.0,2.0,490000.0,1.0,apartment,-5.8286255,-35.2226081
93.0,3.0,3.0,688.0,2.0,330000.0,1.0,apartment,-5.8855448,-35.1775819
110.0,4.0,4.0,900.0,2.0,430000.0,3.0,apartment,-5.8214697,-35.2168115
135.0,4.0,3.0,1160.0,2.0,550000.0,2.0,apartment,0.0,0.0
61.0,1.0,2.0,175.0,1.0,140000.0,1.0,apartment,0.0,0.0
136.0,5.0,3.0,780.0,3.0,745900.0,3.0,apartment,0.0,0.0
90.0,3.0,3.0,0.0,2.0,320000.0,1.0,apartment,-5.8274696,-35.2168565
75.0,1.0,3.0,350.0,2.0,250000.0,1.0,apartment,-5.7775126,-35.2013557
161.0,2.0,3.0,390.0,3.0,399000.0,1.0,apartment,-5.8274696,-35.2168565
123.0,5.0,3.0,550.0,2.0,630000.0,3.0,apartment,-5.8347074,-35.2243579
70.0,1.0,3.0,415.0,2.0,241500.0,1.0,apartment,0.0,0.0
155.0,4.0,3.0,1400.0,2.0,570000.0,3.0,apartment,-5.7997946,-35.1979747
59.0,2.0,2.0,330.0,1.0,280000.0,1.0,apartment,0.0,0.0
99.0,3.0,3.0,600.0,2.0,450000.0,1.0,apartment,-5.796771,-35.200507
92.0,3.0,3.0,534.0,2.0,550000.0,1.0,apartment,-5.8214697,-35.2168115
57.0,2.0,2.0,315.0,1.0,215000.0,1.0,apartment,-5.790886,-35.2023866
99.0,4.0,3.0,500.0,2.0,440000.0,2.0,apartment,-5.8243506,-35.2181326
182.0,3.0,3.0,150.0,2.0,220000.0,2.0,house,0.0,0.0
70.0,1.0,3.0,425.0,2.0,242500.0,1.0,apartment,-5.8799135,-35.1998728
101.0,2.0,3.0,600.0,2.0,450000.0,3.0,apartment,-5.8208253,-35.2081237
131.0,3.0,3.0,700.0,2.0,689000.0,3.0,apartment,-5.8173131,-35.2226992
54.0,2.0,2.0,320.0,1.0,220000.0,1.0,apartment,-5.8069157,-35.216795
107.0,3.0,3.0,700.0,2.0,489900.0,1.0,apartment,-5.8284015,-35.2200481
44.0,1.0,1.0,1300.0,1.0,180000.0,1.0,other,-5.7823372,-35.1946781
194.0,5.0,4.0,0.0,4.0,804195.0,4.0,apartment,-5.8005515,-35.1986193
52.0,1.0,2.0,0.0,1.0,160000.0,1.0,apartment,-5.8228488,-35.233449
186.0,5.0,4.0,1500.0,2.0,670000.0,3.0,apartment,-5.7832323,-35.1961748
87.0,2.0,2.0,630.0,1.0,179000.0,1.0,apartment,-5.808338,-35.2051046
200.0,5.0,3.0,500.0,2.0,635000.0,3.0,house,0.0,0.0
98.0,3.0,3.0,480.0,2.0,480000.0,1.0,apartment,-5.8128407,-35.2050094
78.0,2.0,3.0,650.0,2.0,240000.0,1.0,apartment,-5.8126859,-35.2084239
145.0,5.0,3.0,800.0,2.0,780000.0,3.0,other,-5.8165259,-35.2141266
76.0,2.0,2.0,550.0,1.0,210000.0,1.0,apartment,-5.796771,-35.200507
480.0,5.0,4.0,2500.0,6.0,5777739.0,4.0,apartment,-5.7823372,-35.1946781
230.0,5.0,4.0,0.0,0.0,900000.0,4.0,apartment,-5.7937711,-35.1994336
236.0,5.0,4.0,795.0,3.0,1100000.0,3.0,other,-5.8253734,-35.2113637
140.0,4.0,3.0,0.0,3.0,557211.0,3.0,apartment,-5.8005515,-35.1986193
38.0,1.0,1.0,750.0,1.0,120000.0,0.0,other,-5.86563055,-35.1802167220062
68.0,1.0,2.0,0.0,1.0,99900.0,0.0,other,0.0,0.0
75.0,2.0,3.0,305.0,2.0,250000.0,1.0,apartment,-5.7775126,-35.2013557
120.0,3.0,3.0,710000.0,3.0,580000.0,2.0,apartment,-5.7829457,-35.2004207
76.0,2.0,3.0,550.0,1.0,210000.0,1.0,apartment,-5.799826,-35.207247
196.0,5.0,4.0,1100.0,4.0,1499000.0,3.0,apartment,-5.8624754,-35.1935607
193.0,4.0,3.0,1800.0,4.0,800000.0,3.0,apartment,0.0,0.0
135.0,4.0,4.0,920.0,2.0,850000.0,2.0,apartment,-5.790886,-35.2023866
268.0,6.0,4.0,1700.0,3.0,800000.0,4.0,apartment,-5.7840945,-35.1999475
94.0,2.0,3.0,480.0,2.0,329000.0,1.0,apartment,-5.8897065,-35.1728883
140.0,4.0,4.0,850.0,2.0,430000.0,3.0,apartment,-5.808596,-35.20447
300.0,6.0,5.0,751.0,6.0,1300000.0,4.0,house,-5.8822862,-35.1958557
120.0,3.0,3.0,600.0,2.0,270000.0,2.0,apartment,-5.8574118,-35.2053003
56.0,2.0,2.0,250.0,1.0,170000.0,1.0,apartment,-5.8796695,-35.1973555
153.0,3.0,3.0,598.0,2.0,579000.0,1.0,apartment,-5.866905,-35.2162536
200.0,2.0,4.0,0.0,4.0,250000.0,1.0,house,-5.8680175,-35.202144
200.0,2.0,3.0,0.0,2.0,440000.0,1.0,house,-5.8459021,-35.2016527
89.0,2.0,2.0,900.0,1.0,305000.0,1.0,other,-5.783788,-35.1913745
123.0,5.0,3.0,600.0,2.0,600000.0,3.0,apartment,-5.8203803,-35.2256399
105.0,4.0,3.0,520.0,2.0,560000.0,2.0,apartment,-5.8580854,-35.2023029
100.0,2.0,3.0,600.0,1.0,280000.0,1.0,apartment,0.0,0.0
58.0,1.0,2.0,222.0,1.0,155000.0,0.0,apartment,0.0,0.0
93.0,4.0,3.0,580.0,2.0,460000.0,1.0,apartment,-5.8674286,-35.1966683
40.0,1.0,1.0,0.0,1.0,380000.0,1.0,other,-5.8674964,-35.180586
158.0,5.0,4.0,1000.0,2.0,790000.0,3.0,apartment,-5.8606852,-35.1989537
200.0,6.0,5.0,0.0,0.0,635000.0,4.0,apartment,-5.8005515,-35.1986193
282.0,5.0,4.0,1800.0,4.0,2300000.0,4.0,apartment,-5.783788,-35.1913745
58.0,1.0,2.0,0.0,2.0,82900.0,0.0,other,0.0,0.0
60.0,1.0,2.0,0.0,1.0,110000.0,0.0,house,-5.8225961,-35.2413934
54.0,1.0,2.0,325.0,1.0,165780.0,0.0,apartment,-5.8799135,-35.1998728
130.0,5.0,3.0,800.0,2.0,695000.0,3.0,apartment,-5.8173131,-35.2226992
198.0,4.0,4.0,1200.0,2.0,700000.0,4.0,apartment,0.0,0.0
260.0,6.0,4.0,1550.0,4.0,1300000.0,4.0,apartment,-5.783788,-35.1913745
112.0,2.0,3.0,500.0,2.0,200000.0,1.0,apartment,-5.8624143,-35.1967263
55.0,1.0,2.0,365.0,1.0,180000.0,1.0,apartment,-5.8198444,-35.2109804
57.0,2.0,2.0,0.0,1.0,195000.0,1.0,apartment,0.0,0.0
227.0,4.0,3.0,0.0,4.0,500000.0,3.0,house,-5.8187773,-35.2166551
90.0,2.0,3.0,450.0,2.0,440000.0,1.0,apartment,0.0,0.0
105.0,4.0,3.0,507.0,2.0,560000.0,2.0,apartment,-5.8580854,-35.2023029
57.0,2.0,2.0,0.0,2.0,240000.0,1.0,apartment,-5.8163039,-35.2204887
358.0,5.0,4.0,2800.0,5.0,2500000.0,4.0,apartment,-5.7792731,-35.2056241
60.0,2.0,2.0,0.0,1.0,238000.0,1.0,apartment,-5.8730875,-35.1800373
60.0,0.0,2.0,1.0,1.0,238000.0,1.0,other,-5.8730875,-35.1800373
57.0,2.0,2.0,360.0,1.0,240000.0,1.0,apartment,-5.8603397,-35.2094385
