area,bathrooms,bedrooms,condo,parking_spots,price,suites,type,lat,lon
58.0,2.0,2.0,0.0,1.0,170000.0,1.0,apartment,-5.8796695,-35.1973555
53.0,2.0,2.0,80.0,1.0,120000.0,1.0,apartment,-5.8633093,-35.2324324
76.0,2.0,3.0,280.0,1.0,135000.0,1.0,apartment,-5.8292546,-35.193081
122.0,0.0,3.0,767.0,1.0,295000.0,1.0,apartment,-5.7816181,-35.1974338
175.0,3.0,4.0,0.0,2.0,200000.0,1.0,house,-5.8228488,-35.233449
80.0,1.0,3.0,0.0,2.0,399000.0,1.0,apartment,-5.8069157,-35.216795
123.0,4.0,4.0,580.0,2.0,695000.0,2.0,apartment,-5.8580854,-35.2023029
77.0,1.0,3.0,350.0,1.0,450000.0,1.0,apartment,0.0,0.0
77.0,1.0,2.0,450.0,2.0,215000.0,1.0,apartment,-5.8143778,-35.2089333
92.0,3.0,3.0,500.0,2.0,450000.0,1.0,apartment,0.0,0.0
124.0,3.0,3.0,680.0,2.0,680000.0,3.0,apartment,-5.8347074,-35.2243579
100.0,3.0,3.0,650.0,2.0,650000.0,1.0,apartment,0.0,0.0
155.0,3.0,3.0,850.0,3.0,400000.0,1.0,apartment,0.0,0.0
90.0,1.0,2.0,220.0,2.0,338000.0,1.0,apartment,-5.8186892,-35.2401631
54.0,2.0,2.0,0.0,1.0,283000.0,1.0,apartment,-5.8204083,-35.235357
57.0,2.0,2.0,400.0,1.0,279000.0,1.0,apartment,-5.7903384,-35.1952596
45.0,1.0,2.0,180.0,1.0,136000.0,0.0,apartment,-5.7372347,-35.2360433
45.0,1.0,2.0,150.0,1.0,210000.0,0.0,apartment,-5.8856609,-35.2015891
244.0,6.0,4.0,1400.0,3.0,900000.0,4.0,apartment,-5.8021746,-35.2059042
59.0,2.0,2.0,320.0,2.0,239900.0,1.0,apartment,-5.8999907,-35.1759866
128.0,4.0,3.0,950.0,2.0,730000.0,3.0,apartment,-5.8248843,-35.2127737
60.0,2.0,2.0,362.0,1.0,280000.0,1.0,apartment,0.0,0.0
215.0,6.0,4.0,900.0,3.0,1279000.0,4.0,apartment,0.0,0.0
128.0,3.0,3.0,600.0,3.0,650000.0,3.0,apartment,-5.8165259,-35.2141266
93.0,3.0,3.0,500.0,2.0,499000.0,1.0,apartment,-5.8674286,-35.1966683
212.0,4.0,3.0,0.0,2.0,350000.0,1.0,house,-5.8273977,-35.2196792
60.0,2.0,2.0,300.0,1.0,200000.0,1.0,apartment,0.0,0.0
52.0,2.0,2.0,0.0,1.0,253352.0,1.0,apartment,0.0,0.0
96.0,3.0,3.0,550.0,2.0,420000.0,2.0,apartment,-5.8640599,-35.196594
168.0,3.0,3.0,1000.0,2.0,750000.0,1.0,apartment,-5.8163039,-35.2204887
118.0,4.0,3.0,900.0,2.0,550000.0,3.0,apartment,-5.781494,-35.1998741
102.0,1.0,3.0,250.0,1.0,220000.0,1.0,house,0.0,0.0
55.0,2.0,2.0,240.0,1.0,190000.0,1.0,apartment,-5.8796695,-35.1973555
219.0,5.0,3.0,0.0,4.0,600000.0,3.0,house,-5.8475209,-35.2002436
90.0,2.0,3.0,380.0,2.0,175000.0,1.0,apartment,-5.8284015,-35.2200481
143.0,0.0,3.0,0.0,0.0,480000.0,0.0,house,-5.8022341,-35.2175693
54.0,1.0,2.0,460.0,1.0,250000.0,1.0,apartment,-5.8121824,-35.2190297
74.0,1.0,2.0,450.0,2.0,230000.0,1.0,apartment,-5.8143778,-35.2089333
